start;end;livello;tipo;grado;parole;note
05:08;05:23;1;reflection;1;27;
05:56;06:01;1;reflection;1;15;
06:35;06:36;1;reflection;1;1;
09:29;09:30;1;reflection;1;1;
10:38;10:58;1;reflection;1;44;
12:12;13:08;1;reflection;1;118;
17:46;18:31;1;reflection;1;99;
18:57;19:08;1;reflection;1;22;
20:19;20:27;1;protest;1;12;
23:58;23:59;1;protest;1;1;
34:02;34:07;1;reflection;1;15;
34:10;34:15;1;protest;1;9;
40:43;40:44;1;reflection;1;1;
44:09;44:10;1;reflection;1;1;
48:26;48:31;1;protest;1;12;
48:52;48:53;;;;1;mancante
